student_id,cycle,adaptive_activity,static_activity,adaptive_estimated_gain,static_estimated_gain,adaptive_simulated_gain,static_simulated_gain,adaptive_cumulative_gain,static_cumulative_gain,difference
10522,10,Application Exercise,Application Exercise,1.702731579533384,1.702731579533384,0.0,0.0,0.0,0.0,0.0
10738,10,Concept Review,Concept Review,5.941425360088282,5.941425360088282,64.7377707235219,64.7377707235219,1609.4702668910465,1609.4702668910465,0.0
10741,10,Application Exercise,Application Exercise,2.3656544399944366,2.3656544399944366,3.520093806711722,3.520093806711722,82.6156240832957,82.6156240832957,0.0
10661,10,Application Exercise,Application Exercise,3.284270096804582,3.284270096804582,13.820208567353681,13.820208567353681,325.0134251428166,325.0134251428166,0.0
10412,10,Concept Review,Concept Review,3.2701711216307365,3.2701711216307365,18.469926494970398,18.469926494970398,443.53009925610064,443.53009925610064,0.0
10679,10,Application Exercise,Application Exercise,2.6039126725210258,2.6039126725210258,10.207337676282421,10.207337676282421,236.42750786225514,236.42750786225514,0.0
10627,10,Practice Questions,Practice Questions,4.914493556463868,4.914493556463868,42.69712001855808,42.69712001855808,1061.954155369588,1061.954155369588,0.0
10514,10,Concept Review,Concept Review,3.2499892134374666,3.2824535256722234,13.051956681164866,13.182333359099651,316.1364371053784,316.5982479765038,-0.4618108711254081
10860,10,Concept Review,Concept Review,6.309095579519443,6.309095579519443,81.66493318129967,81.66493318129967,2031.4152128848295,2031.4152128848295,0.0
10137,10,Application Exercise,Application Exercise,3.4645018160329,3.4645018160329,17.682817269031922,17.682817269031922,429.86941352959354,429.86941352959354,0.0
10812,10,Concept Review,Application Exercise,5.701895300491742,5.677714218151257,49.446836045864394,49.237137699807704,1187.5303628637093,1187.3206645176526,0.20969834605671167
10077,10,Application Exercise,Application Exercise,3.9272615345296344,3.9272615345296344,28.27628304861337,28.27628304861337,671.2663874633533,671.2663874633533,0.0
10637,10,Application Exercise,Application Exercise,3.331911285240068,3.331911285240068,12.687918174194179,12.687918174194179,298.6313768002464,298.6313768002464,0.0
10974,10,Advanced Practice,Advanced Practice,4.672775511393643,4.672775511393643,38.129848172972125,38.129848172972125,976.0269098589946,976.0269098589946,0.0
10939,10,Application Exercise,Application Exercise,6.155039715184799,6.155039715184799,75.33768611386193,75.33768611386193,1874.0249420823156,1874.0249420823156,0.0
10900,10,Application Exercise,Application Exercise,7.221493177491046,7.221493177491046,101.56308004823408,101.56308004823408,2531.7221658295575,2531.7221658295575,0.0
10281,10,Concept Review,Concept Review,4.243214472244255,4.243214472244255,30.41536133704682,30.41536133704682,736.3912452895862,736.3912452895862,0.0
10884,10,Application Exercise,Application Exercise,5.847333894636993,5.847333894636993,66.42571304307624,66.42571304307624,1656.6533664824847,1656.6533664824847,0.0
10762,10,Application Exercise,Application Exercise,3.0622778095235152,3.0622778095235152,15.776855274665152,15.776855274665152,369.4755385452264,369.4755385452264,0.0
10320,10,Application Exercise,Application Exercise,5.947689616293089,5.947689616293089,81.45955698475015,81.45955698475015,2023.7091882715438,2023.7091882715438,0.0
10550,10,Advanced Practice,Advanced Practice,2.413177296282445,2.413177296282445,10.617980103642758,10.617980103642758,277.72476783585296,277.72476783585296,0.0
10175,10,Application Exercise,Application Exercise,6.280114652957613,6.280114652957613,42.805261474559096,42.805261474559096,1035.6796314119852,1035.6796314119852,0.0
10372,10,Application Exercise,Application Exercise,2.759764817372369,2.759764817372369,5.254592212276991,5.254592212276991,122.90589288737354,122.90589288737354,0.0
10528,10,Application Exercise,Application Exercise,5.067680233673916,5.067680233673916,52.46062577899238,52.46062577899238,1258.7965524058243,1258.7965524058243,0.0
10211,10,Practice Questions,Practice Questions,3.9481053539370143,3.9481053539370143,38.78618699707723,38.78618699707723,981.6013087625456,981.6013087625456,0.0
10236,10,Concept Review,Application Exercise,3.2490218877819115,3.25003185876313,16.842929466261428,16.848165155828063,396.3958518508886,395.98167782417204,0.4141740267165801
10102,10,Application Exercise,Application Exercise,5.508359911481929,5.508359911481929,47.50409587662015,47.50409587662015,1143.208347893332,1143.208347893332,0.0
10987,10,Application Exercise,Application Exercise,6.803502435685843,6.803502435685843,86.64940702089488,86.64940702089488,2165.5062802048,2165.5062802048,0.0
10903,10,Application Exercise,Application Exercise,2.7967550622402255,2.7967550622402255,12.708455002819585,12.708455002819585,295.8602680677221,295.8602680677221,0.0
10948,10,Practice Questions,Practice Questions,3.0650071239562564,3.0650071239562564,17.262120122121637,17.262120122121637,439.0235887511435,439.0235887511435,0.0
10347,10,Concept Review,Concept Review,4.897776454072663,4.897776454072663,41.768237600331666,41.768237600331666,1023.5211446724297,1023.5211446724297,0.0
10140,10,Application Exercise,Application Exercise,4.794318388612247,4.794318388612247,31.450728629296343,31.450728629296343,765.3073940386929,765.3073940386929,0.0
