student_id,strategy,cycle,predicted_final_grade,predicted_risk,predicted_weakest_topic,selected_activity,predicted_learning_gain,simulated_gain,cumulative_simulated_gain
10011,adaptive,1,53.3743784666664,Medium,Advanced Topics,Advanced Practice,2.19315569483619,0.6579467084508569,0.6579467084508569
10024,adaptive,1,98.12943381194418,Low,Conceptual Understanding,Application Exercise,6.5539225628509135,5.688804784554593,5.688804784554593
10026,adaptive,1,90.70352133751113,Low,Critical Thinking,Application Exercise,5.523576401609715,4.220012370829822,0.0
10031,adaptive,1,78.81239458645713,Low,Critical Thinking,Application Exercise,3.214231726528073,0.7199879067422883,0.7199879067422883
10040,adaptive,1,82.73306592437103,Low,Critical Thinking,Application Exercise,4.145170148774682,2.453940728074612,2.453940728074612
10045,adaptive,1,90.3664022298515,Low,Conceptual Understanding,Application Exercise,5.092678194666949,3.3102408265335166,0.20000000000000284
10055,adaptive,1,64.72680035439225,Medium,Advanced Topics,Concept Review,4.249325126061785,2.915037036478384,2.915037036478384
10056,adaptive,1,96.49297271055661,Low,Conceptual Understanding,Application Exercise,5.767919157307695,4.147133874104233,3.9000000000000057
10060,adaptive,1,88.66094609727008,Low,Problem Solving,Application Exercise,5.134315079112445,3.5580803498249236,0.29999999999999716
10061,adaptive,1,52.577987909210904,Medium,Advanced Topics,Advanced Practice,3.02220983085573,1.1151954275857645,1.1151954275857645
10064,adaptive,1,92.8749244107163,Low,Critical Thinking,Application Exercise,5.577836792307641,4.200111104607654,0.0
10067,adaptive,1,83.20047308937028,Low,Problem Solving,Application Exercise,5.359086844259635,4.067546914793063,2.700000000000003
10068,adaptive,1,56.41657591647535,Medium,Critical Thinking,Advanced Practice,3.1629606336566365,1.4233322851454864,1.4233322851454864
10071,adaptive,1,84.55933140987193,Low,Critical Thinking,Application Exercise,4.654641789580255,2.6065994021649432,2.6065994021649432
10073,adaptive,1,79.24707583189239,Low,Problem Solving,Concept Review,4.057411843560421,2.3411266337343632,2.3411266337343632
10077,adaptive,1,67.9642599525877,Medium,Advanced Topics,Concept Review,3.4059264799750713,1.532666915988782,1.532666915988782
10079,adaptive,1,53.01030541806505,Medium,Advanced Topics,Advanced Practice,3.406270997092641,1.137694513028942,1.137694513028942
10087,adaptive,1,66.33869076046417,Medium,Problem Solving,Concept Review,3.66276761403065,1.7837678280329268,1.7837678280329268
10089,adaptive,1,80.63351187699533,Low,Advanced Topics,Advanced Practice,3.3759077273014975,1.2153267818285391,1.2153267818285391
10097,adaptive,1,80.77719896025182,Low,Conceptual Understanding,Application Exercise,5.784209256638638,4.465409546125029,4.465409546125029
10102,adaptive,1,55.450373236677194,Medium,Advanced Topics,Application Exercise,4.101960096901968,2.210956492230161,2.210956492230161
10108,adaptive,1,80.49022746274728,Low,Critical Thinking,Application Exercise,4.576663047522443,2.6544645675630165,2.6544645675630165
10111,adaptive,1,67.91284667025866,Low,Advanced Topics,Advanced Practice,3.0390126646584132,0.9542499767027418,0.9542499767027418
10121,adaptive,1,100.72704168122517,Low,Conceptual Understanding,Concept Review,6.563404781438525,5.834866850698849,0.0
10137,adaptive,1,60.005740551401324,Medium,Advanced Topics,Application Exercise,2.742117589138114,0.8747355109350584,0.8747355109350584
10138,adaptive,1,58.80946032600671,Medium,Advanced Topics,Advanced Practice,3.427829455854843,1.2100237979167596,1.2100237979167596
10140,adaptive,1,62.1610777113645,Medium,Advanced Topics,Advanced Practice,3.669671320442855,1.5045652413815704,1.5045652413815704
10159,adaptive,1,56.53438665528425,Medium,Advanced Topics,Advanced Practice,2.9121324517120284,1.2522169542361723,1.2522169542361723
10169,adaptive,1,76.36601755589577,Low,Critical Thinking,Concept Review,3.1930226515989837,1.4847555329935276,1.4847555329935276
10175,adaptive,1,72.67670712897551,Low,Advanced Topics,Advanced Practice,4.338718483241698,1.8482940738609634,1.8482940738609634
10185,adaptive,1,85.99190436778449,Low,Advanced Topics,Application Exercise,4.4077854784052315,2.5256610791261975,2.5256610791261975
10199,adaptive,1,70.65561049176965,Low,Advanced Topics,Advanced Practice,3.583971871308616,1.7453943013272961,1.7453943013272961
10200,adaptive,1,57.1065979313944,Medium,Advanced Topics,Advanced Practice,3.1954525515431405,1.521035414534535,1.521035414534535
10209,adaptive,1,59.33020546954131,Medium,Critical Thinking,Advanced Practice,3.53061817731258,1.7688397068336026,1.7688397068336026
10210,adaptive,1,41.594000704510634,Medium,Problem Solving,Advanced Practice,2.7927041323359623,1.0919473157433612,1.0919473157433612
10211,adaptive,1,66.64758430649695,Medium,Advanced Topics,Application Exercise,3.668035476834609,2.25217378277645,2.25217378277645
10214,adaptive,1,67.57835156450771,Low,Critical Thinking,Application Exercise,4.497567298382796,2.977389551529411,2.977389551529411
10216,adaptive,1,62.35507683085179,Medium,Critical Thinking,Concept Review,3.592586846887233,2.11603365281658,2.11603365281658
10219,adaptive,1,87.29983703313479,Low,Conceptual Understanding,Practice Questions,3.0746388483289873,1.3559157321130835,1.3559157321130835
10222,adaptive,1,69.83889442102189,Low,Critical Thinking,Application Exercise,4.486302781786434,2.6648638523811417,2.6648638523811417
10236,adaptive,1,50.66259193665459,Medium,Problem Solving,Advanced Practice,2.703005033342923,0.8757736308031071,0.8757736308031071
10238,adaptive,1,58.43652320378887,Medium,Critical Thinking,Advanced Practice,2.4709190015677827,0.5386603423417766,0.5386603423417766
10245,adaptive,1,66.14267674462725,Medium,Critical Thinking,Advanced Practice,3.2514080302409845,1.25504349967302,1.25504349967302
10248,adaptive,1,50.193123670420476,Medium,Problem Solving,Application Exercise,1.0213799780987074,0.10826627767846297,0.10826627767846297
10255,adaptive,1,57.87670400538825,Medium,Application Skills,Application Exercise,1.6573524916554168,0.4806322225800708,0.4806322225800708
10257,adaptive,1,61.50066071701194,Medium,Advanced Topics,Practice Questions,3.928543180956106,1.5832029019253107,1.5832029019253107
10260,adaptive,1,67.77898127734417,Medium,Advanced Topics,Application Exercise,5.144066782299104,3.5699823469155785,3.5699823469155785
10261,adaptive,1,52.493664162608596,Medium,Advanced Topics,Advanced Practice,2.504712262489449,0.8591163060338809,0.8591163060338809
10262,adaptive,1,74.78133237512972,Low,Advanced Topics,Application Exercise,5.131005839956956,3.1658306032534416,3.1658306032534416
10266,adaptive,1,73.22689409466712,Low,Advanced Topics,Concept Review,4.3238563876504195,2.5251321303878447,2.5251321303878447
10276,adaptive,1,85.76518954944379,Low,Application Skills,Application Exercise,5.926190670049348,4.663912057328837,4.663912057328837
10278,adaptive,1,52.729158900965665,Medium,Advanced Topics,Advanced Practice,2.870617941531548,0.9272095951146899,0.9272095951146899
10281,adaptive,1,57.48877008383867,Medium,Advanced Topics,Advanced Practice,3.5290185148944695,1.5810002946727222,1.5810002946727222
10282,adaptive,1,60.83663384381433,Medium,Problem Solving,Advanced Practice,3.92019239028455,1.8973731168977221,1.8973731168977221
10290,adaptive,1,64.08743265393005,Medium,Advanced Topics,Advanced Practice,3.227924100817563,1.15236890399187,1.15236890399187
10293,adaptive,1,69.22245334483635,Low,Advanced Topics,Concept Review,3.768492543431824,2.295011958949981,2.295011958949981
10295,adaptive,1,79.27256501524063,Low,Advanced Topics,Advanced Practice,4.084342964119569,2.18512348580397,2.18512348580397
10297,adaptive,1,72.45812691257547,Low,Advanced Topics,Concept Review,4.457962642992782,2.817432390371438,0.0
10299,adaptive,1,66.68491245447942,Medium,Advanced Topics,Advanced Practice,3.0449143092575772,1.239280123867834,1.239280123867834
10300,adaptive,1,108.39172082772454,Low,Conceptual Understanding,Concept Review,6.77545479032604,6.70770024242278,0.0
10308,adaptive,1,63.82214364651335,Low,Critical Thinking,Advanced Practice,3.02555711227077,1.1255072457647266,1.1255072457647266
10310,adaptive,1,75.86501688488656,Low,Conceptual Understanding,Application Exercise,4.271230147397818,2.280836898710435,2.280836898710435
10311,adaptive,1,72.5840744587816,Low,Application Skills,Concept Review,3.824714366644172,1.7670180373896076,1.7670180373896076
10313,adaptive,1,70.54581794206297,Low,Application Skills,Application Exercise,5.3177985843025,3.9245353552152453,3.9245353552152453
10315,adaptive,1,42.98373856001999,Medium,Advanced Topics,Application Exercise,1.2043814335563958,0.15175206062810587,0.15175206062810587
10319,adaptive,1,66.8108390854301,Low,Application Skills,Practice Questions,2.7404993901023795,1.227743726765866,1.227743726765866
10320,adaptive,1,92.26997389912589,Low,Conceptual Understanding,Application Exercise,5.4716079131934805,4.6836963736936195,0.0
10322,adaptive,1,85.35449469289968,Low,Problem Solving,Application Exercise,4.777003523377642,2.9617421844941383,2.9617421844941383
10328,adaptive,1,60.6986163344393,Medium,Advanced Topics,Critical Thinking Activity,2.539664610425734,0.6526938048794136,0.6526938048794136
10329,adaptive,1,70.16979462913206,Low,Application Skills,Application Exercise,3.647671759154533,1.6852243527293942,1.6852243527293942
10333,adaptive,1,75.83270544286535,Low,Critical Thinking,Concept Review,4.519093205952322,2.5306921953333004,2.5306921953333004
10347,adaptive,1,70.60817479514665,Low,Advanced Topics,Concept Review,4.083358807956366,2.176430244640743,2.176430244640743
10352,adaptive,1,30.326835493751126,High,Advanced Topics,Application Exercise,1.5551459137715469,0.2659299512549345,0.2659299512549345
10356,adaptive,1,75.24286849326258,Low,Advanced Topics,Application Exercise,4.127371168201244,1.9687560472319936,1.9687560472319936
10362,adaptive,1,68.68451383175217,Low,Problem Solving,Application Exercise,2.4812221607546485,0.5483500975267773,0.5483500975267773
10364,adaptive,1,53.734718356234914,Medium,Advanced Topics,Advanced Practice,3.383144125485012,1.0386252465238985,1.0386252465238985
10366,adaptive,1,74.36282873870084,Low,Conceptual Understanding,Concept Review,5.253585509904677,3.835117422230414,3.835117422230414
10371,adaptive,1,74.41708637513132,Low,Advanced Topics,Advanced Practice,3.6538731392168824,1.8780907935574775,1.8780907935574775
10372,adaptive,1,51.6474191183381,Medium,Problem Solving,Application Exercise,1.9360303243190669,0.23038760859396898,0.23038760859396898
10378,adaptive,1,96.82575339980053,Low,Critical Thinking,Application Exercise,4.522088251530468,2.7539517451820545,0.4000000000000057
