strategy,round,mean_round_gain,median_round_gain,sd_round_gain,mean_cumulative_gain,median_cumulative_gain,mean_predicted_grade,mean_predicted_learning_gain
adaptive,1,1.8925324600357232,1.6614220269700122,1.3717616185709482,1.8925324600357232,1.6614220269700122,69.711479779857,3.8347218985174827
adaptive,2,1.290395146564196,1.126708233095072,0.9361636073801807,3.1829276065999195,2.857645886388421,69.72944207276794,3.8347349884992976
adaptive,3,0.8674573753004683,0.7638059817961576,0.6384283293761038,4.050384981900388,3.688356899873427,69.74002543802713,3.8344545190812354
adaptive,4,0.68653938918333,0.6086158273811122,0.5079469820796341,4.736924371083718,4.229068438753336,69.74948872130238,3.834260252093293
adaptive,5,0.5551437593660947,0.4885709733304441,0.40864464497617115,5.292068130449812,4.745774510824306,69.75529895164638,3.8341684379698306
adaptive,6,0.45187701296848837,0.40495998698407665,0.33990857332868263,5.7439451434183,5.181745259134187,69.76102223320368,3.834072948527683
adaptive,7,0.3849250725079419,0.3448738501764994,0.28956070886889795,6.128870215926242,5.553214472318686,69.76544699630938,3.83397690578265
adaptive,8,0.32984066058246037,0.29865973337914553,0.24876340425948665,6.458710876508703,5.775990523306972,69.76960414102483,3.8339691376445098
adaptive,9,0.29684768761496366,0.26878121109879693,0.22387657265789748,6.755558564123667,6.039625746326166,69.77284804348318,3.833878688292448
adaptive,10,0.2638696837432617,0.23893060266984828,0.19901504425565691,7.019428247866927,6.292571772700544,69.77563492984059,3.833902121681983
static,1,1.8925324600357232,1.6614220269700122,1.3717616185709482,1.8925324600357232,1.6614220269700122,69.711479779857,3.8347218985174827
static,2,1.3264060228987629,1.1425966987849192,0.9600017907382021,3.2189384829344863,2.857645886388421,69.72944207276794,3.8347349884992976
static,3,0.8663012268321046,0.7638059817961576,0.6272294945072893,4.085239709766591,3.688356899873427,69.74205692053825,3.8346881037359584
static,4,0.673768475233624,0.6037116632688031,0.5015008192938384,4.759008185000215,4.245281808585929,69.75096724824344,3.834605468521549
static,5,0.5289752004235024,0.47788589621222677,0.39687600529782224,5.2879833854237175,4.7455958816545065,69.75775898227784,3.834534900463367
static,6,0.43853158254327573,0.40130317133365345,0.3307064465599617,5.726514967966993,5.181415911602369,69.76315014817004,3.8344878577215944
static,7,0.3717304152661829,0.3419514933154977,0.2780032530627881,6.098245383233176,5.552670011187585,69.76751373434475,3.8344520367975106
static,8,0.3199577794949669,0.29184092165573294,0.2416624983759388,6.418203162728142,5.776461088301535,69.77126746529532,3.8344184521756404
static,9,0.28543535261320335,0.25720017773478965,0.21566629571026755,6.703638515341346,6.03845000021167,69.77462380836396,3.8343866143333205
static,10,0.25192519459744755,0.22863320954583125,0.19095487166399244,6.955563709938794,6.291074672237243,69.77760676013452,3.834348138151157
